nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
"Základní škola, Velké Chvojno, okres Ústí nad Labem, příspěvková organizace",Základní škola,102517088,72743450,B00,Základní škola,Ústecký kraj,Ústí nad Labem,Velké Chvojno,None 8,40334,60.0,42,zs.velkechvojno@seznam.cz,,,Obec Velké Chvojno,2,Mgr. Radka Hříbalová,2005-01-01,9353275.0,50.7315929,14.0367021,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4923
Základní škola a Mateřská škola Zabrušany,Základní škola a Mateřská škola,102465762,70981086,B00,Základní škola,Ústecký kraj,Teplice,Zabrušany,None 86,41771,60.0,42,zszabrusany@volny.cz,,,Obec Zabrušany,2,Mgr. Dana Plachá,2005-01-01,15019594.0,50.6049512,13.7874824,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4924
"Základní škola a Mateřská škola, Louka u Litvínova, okres Most",Základní škola a Mateřská škola,116701668,72743158,B00,Základní škola,Ústecký kraj,Most,Louka u Litvínova,Husova 163,43533,55.0,38,zslouka@zslouka.cz,,,Obec Louka u Litvínova,2,Mgr. Radka Jašontková,2005-01-01,5057850.0,50.5852862,13.6396698,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4925
Základní škola a Mateřská škola Tuchořice,Základní škola a Mateřská škola,102377383,72742852,B00,Základní škola,Ústecký kraj,Louny,Tuchořice,None 167,43969,50.0,35,zstuchorice@email.cz,,,Obec Tuchořice,2,Mgr. Ivana Zilcherová,2005-01-01,19938829.0,50.28488,13.6623409,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4926
"Základní škola a mateřská škola Liběšice, okres Louny, příspěvková organizace",Základní škola a mateřská škola,102377375,72741732,B00,Základní škola,Ústecký kraj,Louny,Liběšice,None 61,43963,50.0,35,zsms.libesice@seznam.cz,,,Obec Liběšice,2,Mgr. Michaela Gondeková,2005-01-01,9161732.0,50.5688586,14.2890639,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4927
Základní škola a Mateřská škola Bitozeves,Základní škola a Mateřská škola,108006417,70980071,B00,Základní škola,Ústecký kraj,Louny,Bitozeves,None 89,44001,60.0,42,skola@skolabitozeves.cz,,,Obec Bitozeves,2,Mgr. Bc. Jitka Kozelková,2005-01-01,9106138.0,50.3731536,13.6406811,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4928
"Základní škola a mateřská škola Petrohrad, okres Louny, příspěvková organizace",Základní škola a mateřská škola,102377286,70695512,B00,Základní škola,Ústecký kraj,Louny,Petrohrad,None 3,43985,35.0,24,reditelna@zsmspetrohrad.cz,,,Obec Petrohrad,2,Ivana Hůrková,2005-01-01,9187120.0,50.1275171,13.446414,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4929
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola a střední škola, Pšov, státní příspěvková organizace","VÚ, DD se školou, SVP, ZŠ a SŠ, Pšov",150002769,49123734,B00,Základní škola,Ústecký kraj,Chomutov,Místo,None 66,43158,32.0,22,hanka.kote@seznam.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,PhDr.  Sava Arabadžiev,2005-01-01,20995687.0,50.4470634,13.2672404,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4930
"Speciální základní škola a Praktická škola, Ústí nad Labem, Pod Parkem 2788, příspěvková organizace",Spec. základní škola a Praktická škola,181023725,44555091,C00,Střední škola,Ústecký kraj,Ústí nad Labem,Ústí nad Labem,Pod Parkem 2788,40011,30.0,21,spec.skoly@volny.cz,,,Ústecký kraj,7,Mgr. Bc. Martina Brhelová,2010-11-30,17877237.0,50.6805637,14.0290192,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4931
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola a střední škola, Pšov, státní příspěvková organizace","VÚ, DD se školou, SVP, ZŠ a SŠ, Pšov",150002785,49123734,C00,Střední škola,Ústecký kraj,Chomutov,Místo,None 66,43158,24.0,16,hanka.kote@seznam.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,PhDr.  Sava Arabadžiev,2005-01-01,20995687.0,50.4470634,13.2672404,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4932
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola, střední škola a školní jídelna, Děčín XXXII, Vítězství 70","VÚ, DDŠ, SVP, ZŠ, SŠ a ŠJ",110027787,47274379,B00,Základní škola,Ústecký kraj,Děčín,Děčín,Vítězství 70,40711,36.0,25,a.krupickova@vuboletice.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Rudolf Jakubec,2005-01-01,257788.0,50.7371728,14.1917012,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4933
"Základní škola speciální, Základní škola praktická a Praktická škola, Litoměřice, Šaldova 6, příspěvková organizace","ZŠ speciální, ZŠ praktická a PrŠ",110150511,62770233,C00,Střední škola,Ústecký kraj,Litoměřice,Litoměřice,Šaldova 657,41201,60.0,42,preiss@seznam.cz,,,Ústecký kraj,7,Mgr. Jan Preiss,2005-01-01,2901552.0,50.5401819,14.1275743,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4934
"Základní škola a Mateřská škola Česká Kubice, okres Domažlice, příspěvková organizace",Základní škola a Mateřská škola,102004064,21551405,B00,Základní škola,Plzeňský kraj,Domažlice,Česká Kubice,None 15,34532,43.0,30,zsamskubice@seznam.cz,,,Obec Česká Kubice,2,Mgr. Mirka Randová,2005-01-01,6747485.0,49.369376,12.8587956,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4935
Křesťanská základní škola a mateřská škola Litoměřice,Křesťanská ZŠ a MŠ,181105136,01315391,B00,Základní škola,Ústecký kraj,Litoměřice,Litoměřice,Sládkova 767,41201,42.0,29,info@skolaklubicko.cz,,,Evangelická církev metodistická,6,Mgr. Miroslav Franc,2019-04-18,2902486.0,50.5373776,14.1354335,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4936
ZAČÍT SPOLU Základní škola a Mateřská škola Kadaň,ZAČÍT SPOLU ZŠ a MŠ,181070006,71342320,B00,Základní škola,Ústecký kraj,Chomutov,Kadaň,kpt. Jaroše 612,43201,50.0,35,zacitspolu@kadan.cz,,,RADKA z.s.,5,Bc. Zuzana Rubešová,2015-06-09,18468179.0,50.3811402,13.2705328,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4937
Základní škola a Mateřská škola KUBUKI,Základní škola a Mateřská škola KUBUKI,181104253,03303934,B00,Základní škola,Plzeňský kraj,Klatovy,Bolešiny,None 19,33901,34.0,23,leder.petra@gmail.com,,,Petra Leder,5,Petra Leder,2019-02-22,6909043.0,49.4098927,13.3616056,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4938
"Základní škola a mateřská škola Skočice, okres Plzeň-jih, příspěvková organizace",Základní škola a mateřská škola,102264694,75005671,B00,Základní škola,Plzeňský kraj,Plzeň-jih,Přeštice,None 98,33401,60.0,42,zsskocice@seznam.cz,,,Město Přeštice,2,Mgr. Markéta Šobrová,2005-01-01,7053878.0,49.5726096,13.3295697,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4939
"Základní škola a mateřská škola Chocenice, okres Plzeň-jih",Základní škola a mateřská škola,102264651,75006758,B00,Základní škola,Plzeňský kraj,Plzeň-jih,Chocenice,None 140,33601,70.0,49,zs.chocenice@email.cz,,,Obec Chocenice,2,Mgr. Jaroslava Havlíková,2005-01-01,77719310.0,49.5475919,13.5197964,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4940
"Základní škola a mateřská škola Mochtín, okres Klatovy, příspěvková organizace",Základní škola a mateřská škola,102152934,75005263,B00,Základní škola,Plzeňský kraj,Klatovy,Mochtín,None 37,33901,60.0,42,info@zsmochtin.info,,,Obec Mochtín,2,Mgr. Klára Rosová Vavřičková,2005-01-01,6959679.0,49.360401,13.3567397,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4941
"Základní škola a Mateřská škola Bezvěrov, okres Plzeň-sever, příspěvková organizace",Základní škola a Mateřská škola,102564311,60611863,B00,Základní škola,Plzeňský kraj,Plzeň-sever,Bezvěrov,None 110,33041,40.0,28,reditel@skolabezverov.cz,,,Obec Bezvěrov,2,Mgr. Kateřina Maršánová,2005-01-01,563102.0,49.9950077,13.0589997,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4942
"ZÁKLADNÍ ŠKOLA A MATEŘSKÁ ŠKOLA NELUMBO Education, o.p.s.","ZŠ A MŠ NELUMBO Education, o.p.s.",181025264,24706167,B00,Základní škola,Ústecký kraj,Chomutov,Otvice,U vodárny 278,43111,50.0,35,info@nelumboeducation.cz,,,,5,Mgr. Dita Klucová,2011-02-02,41250516.0,50.4784357,13.4469639,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4943
Základní škola a Mateřská škola Žichlice,Základní škola a Mateřská škola,102328021,72073314,B00,Základní škola,Plzeňský kraj,Plzeň-sever,Hromnice,None 58,33011,65.0,45,skola@zszichlice.cz,,,Obec Hromnice,2,Mgr. Marian Husák,2005-01-01,602540.0,49.847152,13.4395233,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4944
"Výchovný ústav, dětský domov se školou, základní škola, střední škola a školní jídelna, Hostouň, Chodské náměstí 131","Vých.ústav, DD se školou, ZŠ, SŠ a ŠJ",150069685,48342998,C00,Střední škola,Plzeňský kraj,Domažlice,Hostouň,Chodské náměstí 131,34525,48.0,33,reditel@vudds-hostoun.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,"Ing. Radek Bošek, MBA",2005-01-01,6780491.0,49.5596804,12.7705851,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4945
"Výchovný ústav, dětský domov se školou, základní škola, střední škola a školní jídelna, Hostouň, Chodské náměstí 131","Vých.ústav, DD se školou, ZŠ, SŠ a ŠJ",110031601,48342998,B00,Základní škola,Plzeňský kraj,Domažlice,Hostouň,Chodské náměstí 131,34525,56.0,39,reditel@vudds-hostoun.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,"Ing. Radek Bošek, MBA",2005-01-01,6780491.0,49.5596804,12.7705851,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4946
"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Plzeň, Karlovarská 67","Dětský diagnostický ústav, SVP, ZŠ a ŠJ",110031954,49778129,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Karlovarská 459,32300,60.0,42,svpplzen@dduplzen.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Viktor Vanžura,2005-01-01,24480371.0,49.7627873,13.3648329,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4947
"Výchovný ústav, střední škola a základní škola Terešov, příspěvková organizace","VÚ, SŠ a ZŠ Terešov",110034791,48380253,C00,Střední škola,Plzeňský kraj,Rokycany,Terešov,None 112,33808,32.0,22,zastupce@vuteresov.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Petr Butula,2005-01-01,13009354.0,49.8965745,13.6951978,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4948
"Výchovný ústav, střední škola a základní škola Terešov, příspěvková organizace","VÚ, SŠ a ZŠ Terešov",181128039,48380253,B00,Základní škola,Plzeňský kraj,Rokycany,Terešov,None 1,33808,10.0,7,zastupce@vuteresov.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Petr Butula,2022-03-28,13008404.0,49.8965745,13.6951978,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4949
"Dětský domov se školou, základní škola a středisko výchovné péče Jiříkov","DD se školou, ZŠ a SVP",110027744,00412040,B00,Základní škola,Ústecký kraj,Děčín,Jiříkov,Čapkova 814,40753,42.0,29,info@ddsjirikov.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Dušan Šimonka,2005-01-01,110043.0,50.9935277,14.5708119,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4950
"Základní škola Ročov, příspěvková organizace",Základní škola,061357383,61357383,B00,Základní škola,Ústecký kraj,Louny,Ročov,None 121,43967,55.0,38,zs@zsrocov.cz,,,Městys Ročov,2,Ing. Jana Altmanová,2005-01-01,19924739.0,50.2535123,13.7739711,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4951
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola a střední škola, Buškovice, státní příspěvková organizace","VÚ, DD se školou, SVP, ZŠ a SŠ",110031750,49123947,B00,Základní škola,Ústecký kraj,Karlovy Vary,Žlutice,Jiráskova 344,36452,24.0,16,vubuskovice@vubuskovice.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,PhDr. Mgr. Mojmír Šebek,2005-01-01,12019861.0,50.0910601,13.160209,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4952
"Základní škola a Mateřská škola Koštice, okres Louny, příspěvková organizace",Základní škola a Mateřská škola,102377278,70695474,B00,Základní škola,Ústecký kraj,Louny,Koštice,None 53,43921,50.0,35,zsmskostice@seznam.cz,,,Obec Koštice,2,Ing. Jiřina Nováková,2005-01-01,9138633.0,50.4027209,13.9419374,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4953
"Odborná škola, Základní škola a Mateřská škola, Plzeň, Macháčkova 45","Odborná škola,Základ.škola a Mateř.škola",108032019,70839352,C00,Střední škola,Plzeňský kraj,Plzeň-město,Plzeň,Macháčkova 906,31800,62.0,43,skola@skolymach.cz,,,Plzeňský kraj,7,Mgr. Karla Adámková,2005-01-01,24564753.0,49.7443583,13.3256024,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4954
Základní škola Erazim 2,Základní škola Erazim 2,181106698,08343756,B00,Základní škola,Ústecký kraj,Ústí nad Labem,Ústí nad Labem,Berní 2261,40001,25.0,17,spam@erazim.cz,,,"Školy Erazim, z. s.",5,Matěj Frgala,2019-07-16,17836701.0,50.665863,14.0306912,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4955
"Speciální základní škola, Mateřská škola a Praktická škola, Varnsdorf, T. G. Masaryka 1804, příspěvková organizace","Speciální ZŠ, MŠ a PŠ",181142449,65081811,C00,Střední škola,Ústecký kraj,Děčín,Varnsdorf,T. G. Masaryka 1804,40747,20.0,14,skola@specvdf.cz,,,Ústecký kraj,7,PhDr. Blažena Dacerová,2024-02-20,180165.0,50.9103438,14.6273925,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4956
"Speciální základní škola a Praktická škola, Šluknov, Tyršova 710, příspěvková organizace",Spec. základní škola a Praktická škola,181025230,65082478,C00,Střední škola,Ústecký kraj,Děčín,Rumburk,Náměstí Dobrovského 378,40801,48.0,33,skola@skolyvybezek.cz,,,Ústecký kraj,7,Mgr. Bc. Monika Kamenická,2011-01-31,126314.0,50.9515568,14.5557034,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4957
"Speciální základní škola a Praktická škola, Česká Kamenice, Jakubské nám. 113, příspěvková organizace",Spec. základní škola a Praktická škola,181042771,63155931,C00,Střední škola,Ústecký kraj,Děčín,Česká Kamenice,Jakubské náměstí 113,40721,20.0,14,skola@specck.cz,,,Ústecký kraj,7,Mgr. Bc. Eva Franzová,2012-11-27,94293.0,50.7985801,14.417615,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4958
"Základní škola Záchlumí, okres Tachov, příspěvková organizace","Základní škola Záchlumí, okres Tachov",102464138,70982422,B00,Základní škola,Plzeňský kraj,Tachov,Záchlumí,None 32,34901,60.0,42,skolazachlumi@zachlumi.cz,,,Obec Záchlumí,2,Mgr. Iveta Přenosilová Chabrová,2005-01-01,15692817.0,50.0953496,16.3762436,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4959
"Speciální základní škola, Speciální mateřská škola a Praktická škola, Děčín, příspěvková organizace","Speciální ZŠ, Speciální MŠ a PrŠ",181080109,65082133,C00,Střední škola,Ústecký kraj,Děčín,Děčín,17. listopadu 673,40502,20.0,14,reditel@specdcbynov.cz,,,Ústecký kraj,7,Mgr. Roman Stružinský,2016-07-18,210013.0,50.7782807,14.2182708,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4960
"Základní škola Osmička, z. ú.","Základní škola Osmička, z. ú.",181110954,07810091,B00,Základní škola,Ústecký kraj,Litoměřice,Roudnice nad Labem,třída T. G. Masaryka 1474,41301,60.0,42,skola.osmicka@gmail.com,,,,5,Mgr. Barbora Rajchlová,2020-01-20,17732786.0,50.4251295,14.2510684,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4961
"Základní škola a Praktická škola Gabriely Pelechové, pobočný spolek",ZŠ a PrŠ Gabriely Pelechové,110013107,62231570,B00,Základní škola,Ústecký kraj,Děčín,Dolní Poustevna,Čs. armády 142,40782,54.0,37,skolygpa@interdata.cz,,,,5,Mgr. Miroslav Marek,2005-01-01,14451.0,50.982625,14.2891175,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4962
"Základní škola a Praktická škola Gabriely Pelechové, pobočný spolek",ZŠ a PrŠ Gabriely Pelechové,150068123,62231570,C00,Střední škola,Ústecký kraj,Děčín,Dolní Poustevna,Vilémovská 192,40782,18.0,12,skolygpa@interdata.cz,,,,5,Mgr. Miroslav Marek,2005-01-01,14818.0,50.9802651,14.291775,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4963
"Dětský domov se školou, základní škola a školní jídelna, Měcholupy 2","DD se školou, ZŠ a školní jídelna",110031814,61781517,B00,Základní škola,Plzeňský kraj,Klatovy,Předslav,None 2,33901,32.0,22,bittnerova@ddsmecholupy.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Petra Pavlíková,2005-01-01,6983961.0,49.4474651,13.3543778,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4964
"Základní škola a Mateřská škola Dešenice, okres Klatovy, příspěvková organizace",Základní škola a Mateřská škola,102152853,70998639,B00,Základní škola,Plzeňský kraj,Klatovy,Dešenice,None 151,34022,60.0,42,info@zsamsdesenice.info,,,Městys Dešenice,2,Mgr. Yvona Suchanová,2005-01-01,2841398.0,49.2742995,13.1709455,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4965
"Základní škola a Mateřská škola Vysoká Pec, okres Chomutov, příspěvková organizace",Základní škola a Mateřská škola,116200014,72745169,B00,Základní škola,Ústecký kraj,Chomutov,Vysoká Pec,Julia Fučíka 40,43159,17.0,11,iwojtowiczova@seznam.cz,,,Obec Vysoká Pec,2,Mgr. Iveta Wojtowiczová,2005-01-01,18502865.0,50.5242402,13.4692922,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4966
Střední škola a základní škola Klášterec nad Ohří,Střední škola a základní škola Klášterec nad Ohří,250003741,46787496,C00,Střední škola,Ústecký kraj,Chomutov,Klášterec nad Ohří,Havlíčkova 269,43151,24.0,16,reditel@4zsklasterec.cz,,,Město Klášterec nad Ohří,2,Mgr. Jiří Kypta,2025-03-27,18482708.0,50.3860725,13.1693507,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4967
"Základní škola a Mateřská škola Chbany, okres Chomutov, příspěvková organizace",Základní škola a Mateřská škola,102129096,70698368,B00,Základní škola,Ústecký kraj,Chomutov,Chbany,None 20,43157,50.0,35,jk2747@seznam.cz,,,Obec Chbany,2,Mgr. Jiřina Kříčková,2005-01-01,2640872.0,50.332773,13.4303749,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4968
"Základní škola speciální a Mateřská škola, Chomutov, Palachova 4881, příspěvková organizace",ZŠ speciální a MŠ,116200561,72744341,B00,Základní škola,Ústecký kraj,Chomutov,Chomutov,Palachova 4881,43003,40.0,28,info@specialni-skola.cz,,,Statutární město Chomutov,2,Mgr. Jana Sejnová,2005-01-01,23529415.0,50.4622387,13.398628,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4969
Základní škola a Mateřská škola Dolní Habartice - příspěvková organizace,Základní škola a Mateřská škola,102000069,72744537,B00,Základní škola,Ústecký kraj,Děčín,Dolní Habartice,None 152,40502,65.0,45,zsmsdh@seznam.cz,,,Obec Dolní Habartice,2,Mgr. Martina Baštrnáková,2005-01-01,160644.0,50.7471772,14.3332786,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4970
"Základní škola a Mateřská škola Huntířov, příspěvková organizace",Základní škola a Mateřská škola,102053634,72742241,B00,Základní škola,Ústecký kraj,Děčín,Huntířov,None 101,40502,65.0,45,olga.kocmanova@gmail.com,,,Obec Huntířov,2,Mgr. Bc. Olga Kocmanová,2005-01-01,24414.0,50.789435,14.3034242,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4971
Základní škola a Mateřská škola Dobkovice,Základní škola a Mateřská škola,102053596,72745258,B00,Základní škola,Ústecký kraj,Děčín,Dobkovice,None 83,40703,40.0,28,nora.kalasova@zsdobkovice.cz,,,Obec Dobkovice,2,Mgr. Nora Kalašová,2005-01-01,282618.0,50.7148448,14.1931462,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4972
"Základní škola a Mateřská škola Lipová, okres Děčín, příspěvková organizace",Základní škola a Mateřská škola,102053499,72742445,B00,Základní škola,Ústecký kraj,Děčín,Lipová,None 417,40781,60.0,42,zsms.lipova@seznam.cz,,,Obec Lipová,2,Mgr. Bc. Klára Skopalová,2005-01-01,51811.0,49.4097025,17.6142916,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4973
"Základní škola a Mateřská škola Rybniště, okres Děčín, příspěvková organizace",Základní škola a Mateřská škola,102053464,70695296,B00,Základní škola,Ústecký kraj,Děčín,Rybniště,None 170,40751,55.0,38,skola.rybniste@seznam.cz,,,Obec Rybniště,2,Mgr. Martina Kočišová,2005-01-01,72028.0,50.8797591,14.5155486,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4974
Základní škola speciální Royal Rangers při Středisku Víteček,ZŠ spec. Royal Rangers při Stř. Víteček,151038201,71340921,B00,Základní škola,Plzeňský kraj,Tachov,Černošín,Plánská 270,34958,15.0,10,skolavitecek@email.cz,,,15. Přední hlídka Royal Rangers v ČR,5,Mgr. Zuzana Kovandová,2008-02-01,15605281.0,49.8190278,12.8753107,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4975
Základní škola speciální a Praktická škola Diakonie ČCE Merklín,ZŠ spec. a Praktická škola Diakonie ČCE,181077639,71197583,C00,Střední škola,Plzeňský kraj,Klatovy,Sušice,Pod Nemocnicí 116,34201,24.0,16,kovacova@spsmerklin.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Ivana Kováčová,2016-02-23,7019483.0,49.2296033,13.5254646,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4976
"Základní škola a Mateřská škola Chudenín, okres Klatovy, příspěvková organizace",Základní škola a Mateřská škola,102113092,60610107,B00,Základní škola,Plzeňský kraj,Klatovy,Chudenín,None 54,34022,60.0,42,skola@skolachudenin.cz,,,Obec Chudenín,2,"Mgr. Andrea Königsmarková Huňáčková, Ph.D.",2005-01-01,5595533.0,49.2930396,13.1007976,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4977
Základní škola a mateřská škola Mnetěš,Základní škola a mateřská škola,102305811,72743581,B00,Základní škola,Ústecký kraj,Litoměřice,Mnetěš,None 135,41301,60.0,42,,,,Obec Mnetěš,2,Marcela Sekerová,2005-01-01,16739116.0,50.365546,14.2817291,0,0.5,False,,0,29.0,0.0,0.0,15.0,9.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,C,4978
