nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
"Základní škola a mateřská škola Český Těšín Kontešinec, příspěvková organizace",Základní škola a mateřská škola,181032333,72545917,B00,Základní škola,Moravskoslezský kraj,Karviná,Český Těšín,Pražská 3,73701,430.0,301,info@zskontesinec.net,,,Město Český Těšín,2,Mgr. Marcel Žebrok,2011-11-08,5761859.0
"Základní škola a mateřská škola Český Těšín Hrabina, příspěvková organizace",Základní škola a mateřská škola,181032422,72545933,B00,Základní škola,Moravskoslezský kraj,Karviná,Český Těšín,Ostravská 1710,73701,700.0,489,skola@zshrabina.cz,,,Město Český Těšín,2,Mgr. Bc. Richard Zajac,2011-11-10,5778760.0
"EDUCATION INSTITUTE základní škola, mateřská škola, s.r.o.","EDUCATION INSTITUTE ZŠ, MŠ, s.r.o.",181079534,29386187,B00,Základní škola,Moravskoslezský kraj,Ostrava-město,Ostrava,Erbenova 782,70300,40.0,28,info@edin.cz,,,,5,"Mgr. Petra Rímeš, MBA",2016-06-14,3331105.0
"Základní škola a Mateřská škola generála Pattona Dýšina, příspěvková organizace",ZŠ a MŠ generála Pattona Dýšina,181012286,72553740,B00,Základní škola,Plzeňský kraj,Plzeň-město,Dýšina,Školní 229,33002,250.0,175,zsdysina@zsdysina.cz,,,Obec Dýšina,2,Mgr. Renata Šilhánková,2009-08-31,583740.0
Soukromá základní škola a mateřská škola Viva Bambini s.r.o.,Soukromá ZŠ a MŠ Viva Bambini s.r.o.,181044706,28133447,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,nám. Bratří Čapků 1267,37007,78.0,54,barbora@montessoricb.cz,,,,5,Mgr. Klára Štěpánková,2013-02-01,26814102.0
"Střední škola řemeslná a Základní škola, Soběslav, Wilsonova 405",Střední škola řemeslná a Základní škola,181033496,72549572,C00,Střední škola,Jihočeský kraj,Tábor,Soběslav,Wilsonova 405,39201,583.0,408,bartova.darja@ssrsobeslav.cz,,,Jihočeský kraj,7,Ing. Darja Bártová,2011-12-13,17407559.0
"Střední škola řemeslná a Základní škola, Soběslav, Wilsonova 405",Střední škola řemeslná a Základní škola,181033488,72549572,B00,Základní škola,Jihočeský kraj,Tábor,Soběslav,Školní náměstí 56,39201,116.0,81,bartova.darja@ssrsobeslav.cz,,,Jihočeský kraj,7,Ing. Darja Bártová,2011-12-13,17404096.0
"Základní škola Vitae, s.r.o.","Základní škola Vitae, s.r.o.",181033518,24736490,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Chomutovická 1443,14900,250.0,175,iveta.jonasova@skolavitae.cz,,,,5,Mgr. Iveta Jonášová,2011-12-14,21839964.0
"Základní škola Hartmanice, příspěvková organizace",Základní škola Hartmanice,102164347,72550031,B00,Základní škola,Plzeňský kraj,Klatovy,Hartmanice,None 95,34201,75.0,52,brei.josef@zshartmanice.cz,,,Město Hartmanice,2,Mgr. Bc. Olga Kašíková,2005-01-01,21407941.0
"Vyšší odborná škola, Střední průmyslová škola a Střední odborná škola řemesel a služeb, Strakonice, Zvolenská 934","VOŠ, SPŠ a SOŠ řemesel a služeb",181033577,72549581,C00,Střední škola,Jihočeský kraj,Strakonice,Strakonice,Želivského 291,38601,1000.0,700,pilecek@ssst.cz,,,Jihočeský kraj,7,Ing. Miloslav Pileček,2011-12-16,18433529.0
Mateřská škola a Základní škola Slunečnice,MŠ a ZŠ Slunečnice,181067293,71341439,B00,Základní škola,Kraj Vysočina,Havlíčkův Brod,Okrouhlice,None 186,58231,90.0,62,hana.belingerova@seznam.cz,,,Hana Belingerová,5,Hana Belingerová,2015-02-23,9483055.0
"Základní škola a Mateřská škola Mozaika, školská právnická osoba",Základní škola a Mateřská škola Mozaika,181033704,71341447,B00,Základní škola,Středočeský kraj,Praha-východ,Mnichovice,Myšlínská 30,25164,80.0,56,info@montessorimozaika.cz,,,Mgr. Táňa Kadlecová,5,Mgr. Táňa Kadlecová,2011-12-21,21313571.0
Střední odborná škola Říčany s.r.o.,Střední odborná škola Říčany s.r.o.,181034131,24135097,C00,Střední škola,Středočeský kraj,Praha-východ,Říčany,Jiráskova 1519,25101,331.0,231,l.hruskova@sosricany.cz,,,,5,"Mgr. Daniel Vančura, MBA",2012-01-02,12731986.0
"Základní škola Nový svět, Opava, příspěvková organizace",Základní škola Nový svět,181034247,72074183,B00,Základní škola,Moravskoslezský kraj,Opava,Opava,Šrámkova 1457,74705,180.0,125,info@zsnovysvet.cz,,,Statutární město Opava,2,Mgr. Hana Rozsíval Kroupová,2012-01-06,4490738.0
"Královská mateřská škola a základní škola, s.r.o.","Královská MŠ a ZŠ, s.r.o.",181107414,24136786,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Trojská 218,17100,300.0,210,info@skolkakobylisy.cz,,,,5,Mgr. Kamila Beránková,2019-08-12,22314270.0
Waldorfská základní škola a mateřská škola Wlaštovka Karlovy Vary o.p.s.,Waldorfská ZŠ a MŠ Wlaštovka o.p.s.,181034824,29125812,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Karlovy Vary,Modenská 150,36007,200.0,140,strejcovsky@wlastovka.cz,,,,5,Jan Strejcovský,2012-01-31,20672268.0
"Střední škola Sion High School, Hradec Králové",SŠ Sion High School,181035618,71341501,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Hradecká 1151,50003,270.0,189,info@highschool.cz,,,"Sion, z.s.",5,Mgr. Yvona Klánová,2012-03-14,23874830.0
Základní škola a mateřská škola Stádlec,Základní škola a mateřská škola,181035693,72545526,B00,Základní škola,Jihočeský kraj,Tábor,Stádlec,None 128,39162,40.0,28,zsstadlec@seznam.cz,,,Městys Stádlec,2,Mgr. Vladimír Doležal,2012-03-16,6695329.0
"Základní škola Tvarožná Lhota, příspěvková organizace",Základní škola,181036312,72554304,B00,Základní škola,Jihomoravský kraj,Hodonín,Tvarožná Lhota,None 275,69662,60.0,42,skola@tvarozna-lhota.cz,,,Obec Tvarožná Lhota,2,Mgr. Helena Handlová,2012-05-17,13583051.0
"Meruzalka-Montessori mateřská škola a základní škola v Jihlavě, o.p.s.","Meruzalka-Montessori MŠ a ZŠ, o.p.s.",181054612,29354391,B00,Základní škola,Kraj Vysočina,Jihlava,Jihlava,Havlíčkova 5628,58601,28.0,19,info@meruzalka.cz,,,,5,Mgr. Jana Procházková,2014-01-09,73081256.0
"Montessori základní škola a mateřská škola ELIPSA, o.p.s.",Montessori ZŠ a MŠ ELIPSA,181145341,29156521,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Karlovy Vary,Svatošská 268,36007,12.0,8,info@mselipsa.cz,,,,5,Mgr. Hana Dušková,2024-06-21,20673426.0
"Základní škola, mateřská škola a dětské jesle Moudrá sova s.r.o.","ZŠ, MŠ a dětské jesle Moudrá sova s.r.o.",181076632,29125162,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Březová,Keramická 92,36001,90.0,62,info@msmoudrasova.cz,,,,5,"Bc. Petr Štaif, DiS.",2016-01-12,11936363.0
Mateřská škola a Základní škola NEMO,Mateřská škola a Základní škola NEMO,181069750,71342281,B00,Základní škola,Středočeský kraj,Praha-východ,Říčany,Nad Bahnivkou 140,25101,61.0,42,babyclubnemo@seznam.cz,,,"Baby club NEMO, z.s.",5,Mgr. Lenka Sosnovcová,2015-05-22,27120864.0
"Školy HLÁSEK - základní škola a mateřská škola, s.r.o.","Školy HLÁSEK - ZŠ a MŠ, s.r.o.",181049023,24296023,B00,Základní škola,Středočeský kraj,Beroun,Hlásná Třebaň,U Kapličky 2,26718,95.0,66,vendulka.myskova@skolyhlasek.cz,,,,5,Mgr. Vendulka Myšková,2013-08-12,1531298.0
Základní škola a mateřská škola Lázně Bohdaneč,Základní škola a mateřská škola,181038714,72563575,B00,Základní škola,Pardubický kraj,Pardubice,Lázně Bohdaneč,Na Lužci 660,53341,520.0,364,skola@skolalb.cz,,,Město Lázně Bohdaneč,2,Mgr. Soňa Drvotová,2012-08-20,7490682.0
"Mateřská škola a Základní škola Duhový svět, s.r.o.","MŠ a ZŠ Duhový svět, s.r.o.",181051338,24252832,B00,Základní škola,Středočeský kraj,Kladno,Kladno,J. Hory 1376,27201,60.0,42,andrea.mariasova@msduhovysvet.cz,,,,5,Mgr. Andrea Mariašová,2013-10-03,1396307.0
Základní škola a Lesní mateřská škola Jurta,ZŠ a Lesní MŠ Jurta,181055261,71342311,B00,Základní škola,Ústecký kraj,Děčín,Děčín,Pěší 9,40502,98.0,68,info@lesniklub.cz,,,"JURTA, o.p.s.",5,Mgr. Petra Landsperská,2014-01-31,262854.0
Základní škola a Mateřská škola Orlické Záhoří,Základní škola a Mateřská škola,181042070,28859235,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Orlické Záhoří,None 22,51764,15.0,10,zs.orlickezahori@email.cz,,,Obec Orlické Záhoří,2,Mgr. Monika Turková,2012-11-08,9870261.0
Soukromá Základní škola a Mateřská škola B-English s.r.o.,Soukromá ZŠ a MŠ B-English s.r.o.,181042169,24255378,B00,Základní škola,Středočeský kraj,Beroun,Králův Dvůr,Tři Vršky 532,26701,148.0,103,novotna@b-english.cz,,,,5,Mgr. Sylvia Jančiová,2012-11-09,73028339.0
ZAČÍT SPOLU Základní škola a Mateřská škola Kadaň,ZAČÍT SPOLU ZŠ a MŠ,181070006,71342320,B00,Základní škola,Ústecký kraj,Chomutov,Kadaň,kpt. Jaroše 612,43201,50.0,35,zacitspolu@kadan.cz,,,RADKA z.s.,5,Bc. Zuzana Rubešová,2015-06-09,18468179.0
"Soukromá základní škola PIANETA, s.r.o.","Soukromá ZŠ PIANETA, s.r.o.",181043343,29445191,B00,Základní škola,Moravskoslezský kraj,Karviná,Bohumín,Trnková 280,73551,100.0,70,montessori@zspianeta.cz,,,,5,Mgr. Petra Nováková,2012-12-11,18812899.0
ZÁKLADNÍ ŠKOLA a MATEŘSKÁ ŠKOLA TIP TOES s.r.o.,ZŠ a MŠ TIP TOES s.r.o.,181043939,24256510,B00,Základní škola,Středočeský kraj,CZ0209,Praha,Říčanská 2399,10100,300.0,210,office@tiptoes.cz,,,,5,Mgr. Jarmila Dvořáková,2013-01-03,22654178.0
Métis - základní škola s.r.o.,Métis - základní škola s.r.o.,181043947,24308404,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Pod Balkánem 599,19000,162.0,113,metis@zsmetis.cz,,,,5,Ing. Veronika Patrasová,2013-01-03,22545166.0
Základní škola Purkrabka,Základní škola Purkrabka,181043955,01315528,B00,Základní škola,Středočeský kraj,Praha-východ,Škvorec,Smiřických 2,25083,100.0,70,michaela.rybova@skolapurkrabka.cz,,,Daniela Montoya,5,Ing. Vladimíra Burianová,2013-01-03,14588676.0
Křesťanská základní škola a mateřská škola Litoměřice,Křesťanská ZŠ a MŠ,181105136,01315391,B00,Základní škola,Ústecký kraj,Litoměřice,Litoměřice,Sládkova 767,41201,42.0,29,info@skolaklubicko.cz,,,Evangelická církev metodistická,6,Mgr. Miroslav Franc,2019-04-18,2902486.0
Střední škola Euroinstitut,Střední škola Euroinstitut,181044463,01343025,C00,Střední škola,Středočeský kraj,Kladno,Neprobylice,None 18,27375,180.0,125,stredocesky@euroinstitut.cz,,,Obecně prospěšná společnost Euroinstitut,5,"Mgr. Michal Müller, MBA",2013-01-24,11350288.0
"Montessori školy Andílek - mateřská škola a základní škola, o.p.s.","Montessori školy Andílek-MŠ a ZŠ, o.p.s.",181044498,28414756,B00,Základní škola,Hlavní město Praha,CZ0105,Praha,Pod radnicí 152,15000,100.0,70,hana.chramostova@montessoriandilek.cz,,,,5,Mgr. Hana Chramostová,2013-01-24,22018956.0
"Střední škola filmová, multimediální a počítačových technologií, s.r.o.","Střední škola film., mult. a poč. tech.",181044684,29373883,C00,Střední škola,Zlínský kraj,Zlín,Zlín,Filmová 174,76001,200.0,140,info@creativehill.cz,,,,5,Mgr. Martina Růžičková,2013-02-06,4162382.0
Základní škola a lesní mateřská škola Čtyřlístek,Základ.škola a lesní mateř.škola 4lístek,181044897,01407104,B00,Základní škola,Karlovarský kraj,Cheb,Mariánské Lázně,Poštovní 160,35301,60.0,42,ctyrlistekml@seznam.cz,,,Mgr. Lucie Straková,5,Mgr. Lucie Straková,2013-02-11,20926961.0
"Základní škola a Mateřská škola Česká Kubice, okres Domažlice, příspěvková organizace",Základní škola a Mateřská škola,102004064,21551405,B00,Základní škola,Plzeňský kraj,Domažlice,Česká Kubice,None 15,34532,43.0,30,zsamskubice@seznam.cz,,,Obec Česká Kubice,2,Mgr. Mirka Randová,2005-01-01,6747485.0
"Mateřská škola a základní škola pro děti s kombinovaným postižením SMILING CROCODILE, o.p.s.","MŠ a ZŠ SMILING CROCODILE, o.p.s.",181045320,24215627,B00,Základní škola,Hlavní město Praha,CZ010A,Praha,K učilišti 165,10200,25.0,17,marketa.blovska@smilingcrocodile.org,,,,5,Mgr. Dagmar Herrmannová,2013-02-27,22638415.0
Adventure School - mateřská škola a základní škola s.r.o.,Adventure School - MŠ a ZŠ s.r.o.,181103028,24243027,B00,Základní škola,Středočeský kraj,Praha-východ,Sulice,Hlavní 813,25168,130.0,91,info@adventureschool.cz,,,,5,Ing. Alžběta Achacová,2019-01-04,25315935.0
"Základní škola a Mateřská škola Poličná 276, příspěvková organizace",Základní škola a Mateřská škola,048773905,71295160,B00,Základní škola,Zlínský kraj,Vsetín,Poličná,None 276,75701,200.0,140,reditelka@zspolicna.cz,,,Obec Poličná,2,Mgr. Pavla Žilinská,2005-01-01,17104963.0
"Základní škola Světice, příspěvková organizace",Základní škola,181046652,71295151,B00,Základní škola,Středočeský kraj,Praha-východ,Světice,U Hřiště 151,25101,388.0,271,skolasvetice@skolasvetice.cz,,,Obec Světice,2,Mgr. Pavla Žižková,2013-05-10,18338810.0
"Mateřská škola Montessori Beroun, Základní škola a Střední škola s.r.o.","MŠ Montessori Beroun, ZŠ a SŠ s.r.o.",250001969,01609793,C00,Střední škola,Středočeský kraj,Beroun,Králův Dvůr,Plzeňská 75,26701,120.0,84,petra@montessori-beroun.cz,,,,5,"Mgr. Petra Illnerová, DiS.",2025-01-21,22822267.0
"Mateřská škola Montessori Beroun, Základní škola a Střední škola s.r.o.","MŠ Montessori Beroun, ZŠ a SŠ s.r.o.",181076730,01609793,B00,Základní škola,Středočeský kraj,Beroun,Beroun,V Zahradách 1874,26601,120.0,84,petra@montessori-beroun.cz,,,,5,"Mgr. Petra Illnerová, DiS.",2016-01-18,28400801.0
"Základní škola Krhová, příspěvková organizace",Základní škola,181047373,21551502,B00,Základní škola,Zlínský kraj,Vsetín,Krhová,Hlavní 205,75663,125.0,87,skolakrhova@seznam.cz,,,Obec Krhová,2,Mgr. Ivana Pavlicová,2013-06-03,25638645.0
Základní škola a mateřská škola Montessori Ostrava,ZŠ a MŠ Montessori Ostrava,181068389,01820494,B00,Základní škola,Moravskoslezský kraj,Ostrava-město,Ostrava,Matrosovova 833,70900,150.0,105,info@montessoriostrava.cz,,,"MONTE VZDĚLÁVACÍ INSTITUT, s.r.o.",5,Ing. Radan Jünger,2015-03-09,3322343.0
Základní škola a Mateřská škola v Olešnici v Orlických horách,Základní škola a Mateřská škola,181047748,71294091,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Olešnice v Orlických horách,None 120,51783,32.0,22,zakladniskola@olesnice.net,,,Obec Olešnice v Orlických horách,2,Mgr. Renata Bachurová,2013-06-24,21539464.0
AMA SCHOOL - základní škola a mateřská škola montessori o.p.s.,AMA SCHOOL - ZŠ a MŠ montessori o.p.s.,181050013,25485920,B00,Základní škola,Ústecký kraj,Most,Most,Široký vrch 363,43401,120.0,84,breckova@amaschool.cz,,,,5,Mgr. Dita Břečková Šeinerová,2013-08-27,73212946.0
"Základní škola Juventa, příspěvková organizace, Komenského 578, Milovice - Mladá",Základní škola Juventa,181047918,21551472,B00,Základní škola,Středočeský kraj,Nymburk,Milovice,Komenského 578,28924,1500.0,1050,reditel@zsjuventa.cz,,,Město Milovice,2,Mgr. Jaroslav Minařík,2013-07-02,70520917.0
Mateřská škola a Základní škola Questo,Mateřská škola a Základní škola Questo,181111039,01894722,B00,Základní škola,Kraj Vysočina,Pelhřimov,Humpolec,Lužická 468,39601,90.0,62,helena.kottova@seznam.cz,,,Ing. Helena Kottová,5,Lucie Kroupová Maršíková,2020-01-21,8904707.0
Střední průmyslová škola elektrotechnická a Vyšší odborná škola Pardubice,SPŠ elektrotechnická a VOŠ,181048841,02013762,C00,Střední škola,Pardubický kraj,Pardubice,Pardubice,Do Nového 1131,53003,960.0,672,spse@spse.cz,,,Pardubický kraj,7,Mgr. Petr Mikuláš,2013-08-08,7787197.0
Mateřská škola a základní škola GAIA,Mateřská škola a základní škola GAIA,181076560,02043378,B00,Základní škola,Středočeský kraj,Benešov,Týnec nad Sázavou,Klusáčkova 2,25741,80.0,56,skolagaia@gmail.com,,,Bc. Jakub Svoboda,5,"Mgr. Adéla Svobodová, DiS.",2016-01-11,3007529.0
Waldorfská základní škola a střední škola Dobromysl z.ú.,Waldorfská ZŠ a SŠ Dobromysl z.ú.,181121379,01811193,C00,Střední škola,Plzeňský kraj,Plzeň-město,Plzeň,Husova 1126,30100,130.0,91,kancelar@skoladobromysl.cz,,,,5,Ing. Silvie Kubová,2021-06-08,24541052.0
Waldorfská základní škola a střední škola Dobromysl z.ú.,Waldorfská ZŠ a SŠ Dobromysl z.ú.,181054990,01811193,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Husova 1126,30100,270.0,189,kancelar@skoladobromysl.cz,,,,5,Ing. Silvie Kubová,2014-02-05,24541052.0
"Victoria School, s.r.o., základní škola a mateřská škola","Victoria School, s.r.o., ZŠ a MŠ",181066653,28431634,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Slavětínská 82,19014,164.0,114,reditel@victoria-school.cz,,,,5,Mgr. Martin Holub,2014-12-30,22469028.0
Základní škola DidaSmart s.r.o.,ZŠ DidaSmart s.r.o.,181052636,02077469,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Bzenecká 4226,62800,150.0,105,info@zsdidasmart.cz,,,,5,Mgr. Andrea Kalusová,2013-11-21,19573804.0
"Základní škola, Liberec, nám. Míru 212/2, příspěvková organizace",Základní škola,181053110,71294988,B00,Základní škola,Liberecký kraj,Liberec,Liberec,nám. Míru 212,46014,460.0,322,skola@zsnamestimiru.cz,,,Statutární město Liberec,2,Mgr. Bc. Pavlína Kubrová,2013-12-04,23708905.0
Základní škola a Mateřská škola Bez hranic,ZŠ a MŠ Bez hranic,102602352,02413612,B00,Základní škola,Středočeský kraj,Rakovník,Mšec,Malcova 171,27064,347.0,242,dvorak@skolabezhranic.cz,,,Dobrovolný svazek obcí Bez hranic,2,Mgr. Milan Dvořák,2005-01-01,8576726.0
Základní škola Letokruh,Základní škola Letokruh,181053837,02584735,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Terezy Novákové 1947,62100,100.0,70,vedeni@skolaletokruh.cz,,,"Mgr. Bc. Petra Komárková, Ph.D.",5,Mgr. Jana Brixí,2013-12-16,19513038.0
Církevní gymnázium v Kutné Hoře,Církevní gymnázium,108032876,02457105,C00,Střední škola,Středočeský kraj,Kutná Hora,Kutná Hora,Jiřího z Poděbrad 288,28401,240.0,168,skola@cgym-kh.cz,,,Biskupství královéhradecké,6,Mgr. Radek Holeček,2005-01-01,11614463.0
"Základní škola, Příbram VII, Bratří Čapků 279, příspěvková organizace",Základní škola,181054205,71295003,B00,Základní škola,Středočeský kraj,Příbram,Příbram,Bratří Čapků 279,26101,630.0,441,zsbc@zsbcpb.cz,,,Město Příbram,2,Mgr. Milan Hlinka,2013-12-30,23016809.0
"Základní škola, Kladno, Pařížská 2249",Základní škola,110036344,71294996,B00,Základní škola,Středočeský kraj,Kladno,Kladno,Pařížská 2249,27201,309.0,216,yvona.vitkova@zskladnoparizska.cz,,,Statutární město Kladno,2,Mgr. Bc. Yvona Vítková,2005-01-01,1436287.0
Základní škola a gymnázium Ježek bez klece,Základní škola a gymnázium,181122111,02900041,C00,Střední škola,Jihomoravský kraj,Brno-město,Brno,Lidická 1981,60200,80.0,56,gabriela.jezkova@jezekbezklece.cz,,,Mgr. Gabriela Boček Ježková,5,Mgr. Gabriela Boček Ježková,2021-07-15,19197578.0
Základní škola a gymnázium Ježek bez klece,Základní škola a gymnázium,181054311,02900041,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Kuřimská 1260,62100,140.0,98,gabriela.jezkova@jezekbezklece.cz,,,Mgr. Gabriela Boček Ježková,5,Mgr. Gabriela Boček Ježková,2013-12-30,19505914.0
"PRIGO, základní škola, s.r.o.","PRIGO, základní škola, s.r.o.",181054566,01721836,B00,Základní škola,Moravskoslezský kraj,Nový Jičín,Frenštát pod Radhoštěm,Tyršova 1053,74401,270.0,189,zrizovatel@prigo.cz,,,,5,Mgr. Pavla Kubicová,2014-01-06,8431931.0
Montessori Zlín - základní škola a mateřská škola Motýlek,Montessori Zlín - ZŠ a MŠ Motýlek,181054574,02747499,B00,Základní škola,Zlínský kraj,Zlín,Zlín,nám. T. G. Masaryka 588,76001,65.0,45,zuzana@montessori-zlin.cz,,,Montessori Zlín s.r.o.,5,Mgr. Zuzana Strachoňová Hönigová,2014-01-07,4212673.0
Základní škola Montessori Plzeň,Základní škola Montessori Plzeň,181054621,02551217,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Karlovarská 585,30100,120.0,84,info@montessori-plzen.cz,,,"Montessori Plzeň, spolek",5,Mgr. Gabriela Vicendová,2014-01-09,24481688.0
Základní škola speciální Neratov,ZŠ speciální Neratov,181054655,02693542,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Bartošovice v Orlických horách,None 119,51761,24.0,16,skola@neratov.cz,,,"Sdružení Neratov, o.s.",5,Mgr. Bronislava Havlíková,2014-01-13,81090421.0
"Základní škola Kunice, příspěvková organizace",Základní škola,181054965,71294139,B00,Základní škola,Středočeský kraj,Praha-východ,Kunice,Na Návsi 60,25163,247.0,172,skola@zskunice.cz,,,Obec Kunice,2,Mgr. Blanka Chramostová,2014-01-24,14548178.0
Základní škola a Střední škola JEDNA RADOST Pňov-Předhradí,ZŠ a SŠ JEDNA RADOST,181113597,02640007,C00,Střední škola,Středočeský kraj,Nymburk,Poděbrady,Na Hrázi 742,29001,60.0,42,lenka.moncekova@skola1radost.cz,,,Mgr. Jindřich Monček,5,Mgr. Jindřich Monček,2020-07-07,18322000.0
Základní škola a Střední škola JEDNA RADOST Pňov-Předhradí,ZŠ a SŠ JEDNA RADOST,181055481,02640007,B00,Základní škola,Středočeský kraj,Nymburk,Poděbrady,Na Hrázi 742,29001,120.0,84,lenka.moncekova@skola1radost.cz,,,Mgr. Jindřich Monček,5,Mgr. Jindřich Monček,2014-02-11,18322000.0
Základní škola Wonderland Academy s.r.o.,Základní škola Wonderland Academy s.r.o.,181055490,28895410,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Mílová 697,14200,350.0,244,hajian@wonderlandacademy.cz,,,,5,"Mgr. Veronika Bergmanová, DiS.",2014-02-11,25194119.0
Základní škola COMPASS s.r.o.,Základní škola COMPASS s.r.o.,181055520,02046504,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,K Zeleným domkům 178,14800,80.0,56,zs-compass@zs-compass.cz,,,,5,Mgr. Ondřej Bloudek,2014-02-12,21877238.0
Hořické gymnázium,Hořické gymnázium,181055660,03230759,C00,Střední škola,Královéhradecký kraj,Jičín,Hořice,Blahoslavova 2105,50801,160.0,112,sandova@gymhorice.cz,,,Mgr. Šárka Šandová,5,Mgr. Šárka Šandová,2014-07-08,17555311.0
Základní škola Galaxie s.r.o.,Základní škola Galaxie s.r.o.,181055759,29454956,B00,Základní škola,Moravskoslezský kraj,Nový Jičín,Nový Jičín,B. Martinů 1994,74101,162.0,113,skola@skolagalaxie.cz,,,,5,Mgr. Daniel Přáda,2014-02-27,8400342.0
Základní škola Cesta,Základní škola Cesta,181055953,02716135,B00,Základní škola,Jihočeský kraj,Písek,Písek,U Výstaviště 463,39701,185.0,129,zscesta@zscesta.cz,,,Sbor Církve bratrské v Písku - Elim,6,Ing. Richard Váňa,2014-02-28,26491257.0
VĚDA základní škola a jazyková škola s právem státní jazykové zkoušky s.r.o.,VĚDA ZŠ a JŠ s právem SJZ s.r.o.,181058324,25771159,B00,Základní škola,Hlavní město Praha,CZ01100,Praha,Ječná 517,12000,60.0,42,novotna@zsveda.cz,,,,5,PhDr. Iva Novotná,2014-06-18,21730776.0
Mateřská škola a Základní škola Na rovině v Chrudimi,MŠ a ZŠ Na rovině v Chrudimi,181058898,03153266,B00,Základní škola,Pardubický kraj,Chrudim,Chrudim,Na Rozhledně 766,53701,100.0,70,zs@narovine.eu,,,Slavomíra Petrová,5,Mgr. Jana Hrázská,2014-07-02,18899234.0
"International Montessori School of Prague, mateřská škola a základní škola, s.r.o.","IMSP, MŠ a ZŠ, s.r.o.",151002142,27233464,B00,Základní škola,Hlavní město Praha,CZ0101,Praha,Hrudičkova 2107,14800,55.0,38,info@montessori.cz,,,,5,Mgr. Ing. Kateřina Stanislavová,2005-09-01,21846677.0
Střední zahradnická škola a Střední odborné učiliště s.r.o.,Střední zahradnická škola a SOU s.r.o.,181059568,03036600,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Hloubětínská 78,19800,240.0,168,livia.k@post.cz,,,,5,Ing. Ivan Roušal,2014-07-21,22420878.0
Základní škola a gymnázium Livingston s.r.o.,ZŠ a gymnázium Livingston s.r.o.,181141965,03012557,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Schoellerova 1097,19600,120.0,84,martin.holub@zslivingston.cz,,,,5,Mgr. Ondřej Bílý,2024-01-23,82060118.0
Základní škola a gymnázium Livingston s.r.o.,ZŠ a gymnázium Livingston s.r.o.,181060256,03012557,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Vážská 998,19600,234.0,163,martin.holub@zslivingston.cz,,,,5,Mgr. Ondřej Bílý,2014-08-04,73965049.0
Mateřská škola a základní škola Sofia School s.r.o.,MŠ a ZŠ Sofia School s.r.o.,181111861,60491418,B00,Základní škola,Středočeský kraj,Praha-východ,Jirny,Navrátilova 69,25090,110.0,77,info@sofiaschool.cz,,,,5,Mgr. Dana Kotting,2020-02-21,14508010.0
Základní škola a Mateřská škola KUBUKI,Základní škola a Mateřská škola KUBUKI,181104253,03303934,B00,Základní škola,Plzeňský kraj,Klatovy,Bolešiny,None 19,33901,34.0,23,leder.petra@gmail.com,,,Petra Leder,5,Petra Leder,2019-02-22,6909043.0
"Gymnázium International a střední odborná škola, s.r.o.","Gymnázium International a SOŠ, s.r.o.",110001923,02556031,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Za Poříčskou bránou 257,18600,290.0,203,reditel@gisos.cz,,,,5,Mgr. Lukáš Carboch,2005-01-01,22351248.0
"Technické gymnázium, základní škola a mateřská škola VŠTE s.r.o.","Technické gymnázium, ZŠ a MŠ VŠTE s.r.o.",250002426,03276759,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Okružní 517,37001,130.0,91,reditelka@skolkavste.cz,,,,5,Mgr. Jaroslava Petráchová,2025-01-30,23384891.0
"Technické gymnázium, základní škola a mateřská škola VŠTE s.r.o.","Technické gymnázium, ZŠ a MŠ VŠTE s.r.o.",181119927,03276759,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,Okružní 517,37001,200.0,140,reditelka@skolkavste.cz,,,,5,Mgr. Jaroslava Petráchová,2021-03-18,23384891.0
